name,MEe,Ered,a_n,a_n_std,mobN,mobN_std,eesd,bulk
Bolsig,0.03878,0.0001,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001162587012942,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001181641595293,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001351608562663,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001396276859727,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001571362561534,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001649898816,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001826845706664,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0001949589069011,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0002123867093218,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0002303715537673,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0002469180299792,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0002722166103039,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0002870636949153,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0003216624696649,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0003337365235959,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0003800897538009,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0003879977480772,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.000449129863036,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0004510811429657,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0005244210785953,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0005307105278519,,,2.492e+25,,Equal,False
Bolsig,0.03878,0.0006096851352884,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.00062710963477,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.0007088120202705,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.0007410188292536,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.0008240556493843,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.0008756186715417,,,2.492e+25,,Equal,False
Bolsig,0.03879,0.0009580363959163,,,2.491e+25,,Equal,False
Bolsig,0.0388,0.0010346674439094,,,2.491e+25,,Equal,False
Bolsig,0.0388,0.0011138006718189,,,2.491e+25,,Equal,False
Bolsig,0.0388,0.0012226060890194,,,2.491e+25,,Equal,False
Bolsig,0.03881,0.0012948901960636,,,2.491e+25,,Equal,False
Bolsig,0.03881,0.0014446822094445,,,2.4899999999999997e+25,,Equal,False
Bolsig,0.03881,0.0015054225251305,,,2.4899999999999997e+25,,Equal,False
Bolsig,0.03882,0.0017070965906603,,,2.488999999999999e+25,,Equal,False
Bolsig,0.03883,0.0017501846767083,,,2.488999999999999e+25,,Equal,False
Bolsig,0.03884,0.002017176338708,,,2.487999999999999e+25,,Equal,False
Bolsig,0.03884,0.0020347419753926,,,2.487999999999999e+25,,Equal,False
Bolsig,0.03887,0.002365564595281,,,2.487e+25,,Equal,False
Bolsig,0.03887,0.0023835794668593,,,2.487e+25,,Equal,False
Bolsig,0.0389,0.002750174676751,,,2.485e+25,,Equal,False
Bolsig,0.0389,0.0028165366437286,,,2.4839999999999998e+25,,Equal,False
Bolsig,0.03894,0.0031973173625149,,,2.4819999999999995e+25,,Equal,False
Bolsig,0.03895,0.0033281368528982,,,2.480999999999999e+25,,Equal,False
Bolsig,0.03899,0.0037171596419164,,,2.479e+25,,Equal,False
Bolsig,0.03902,0.0039326649402139,,,2.477e+25,,Equal,False
Bolsig,0.03907,0.0043215215247272,,,2.4739999999999993e+25,,Equal,False
Bolsig,0.03911,0.0046470004737094,,,2.471e+25,,Equal,False
Bolsig,0.03916,0.0050241448008006,,,2.4679999999999994e+25,,Equal,False
Bolsig,0.03924,0.0054910890530839,,,2.463e+25,,Equal,False
Bolsig,0.0393,0.0058410054965549,,,2.459999999999999e+25,,Equal,False
Bolsig,0.03941,0.006488499228585,,,2.4529999999999996e+25,,Equal,False
Bolsig,0.03947,0.0067906771328223,,,2.449e+25,,Equal,False
Bolsig,0.03965,0.0076670805795261,,,2.4379999999999993e+25,,Equal,False
Bolsig,0.0397,0.0078947530437069,,,2.435999999999999e+25,,Equal,False
Bolsig,0.03997,0.0090597413272355,,,2.42e+25,,Equal,False
Bolsig,0.04,0.0091783373590044,,,2.4179999999999997e+25,,Equal,False
Bolsig,0.0404,0.0106706158139863,,,2.397e+25,,Equal,False
Bolsig,0.04041,0.0107053671948614,,,2.396e+25,,Equal,False
Bolsig,0.04091,0.0124055193654426,,,2.369999999999999e+25,,Equal,False
Bolsig,0.04099,0.0126499071703393,,,2.366e+25,,Equal,False
Bolsig,0.04157,0.014422495703074,,,2.338e+25,,Equal,False
Bolsig,0.04175,0.0149476564890751,,,2.3289999999999997e+25,,Equal,False
Bolsig,0.04241,0.0167674061986173,,,2.2989999999999992e+25,,Equal,False
Bolsig,0.04275,0.0176627726596507,,,2.2839999999999994e+25,,Equal,False
Bolsig,0.04346,0.0194935686872492,,,2.253e+25,,Equal,False
Bolsig,0.04403,0.020871066862857,,,2.229999999999999e+25,,Equal,False
Bolsig,0.04479,0.0226629697917045,,,2.2e+25,,Equal,False
Bolsig,0.04566,0.0246621207433047,,,2.1669999999999996e+25,,Equal,False
Bolsig,0.04642,0.0263476743545508,,,2.14e+25,,Equal,False
Bolsig,0.04771,0.0291417876984407,,,2.096e+25,,Equal,False
Bolsig,0.04842,0.030631464025847,,,2.073e+25,,Equal,False
Bolsig,0.05026,0.0344351485056914,,,2.017e+25,,Equal,False
Bolsig,0.05084,0.0356117422638746,,,1.9999999999999998e+25,,Equal,False
Bolsig,0.05339,0.0406900038144356,,,1.9309999999999996e+25,,Equal,False
Bolsig,0.05375,0.041401749064247,,,1.9219999999999999e+25,,Equal,False
Bolsig,0.05719,0.0480810010197903,,,1.8389999999999994e+25,,Equal,False
Bolsig,0.05722,0.0481331357752106,,,1.8389999999999994e+25,,Equal,False
Bolsig,0.06131,0.0559589585444727,,,1.7519999999999996e+25,,Equal,False
Bolsig,0.06176,0.0568145107483358,,,1.7439999999999994e+25,,Equal,False
Bolsig,0.06612,0.0650571584616089,,,1.6639999999999997e+25,,Equal,False
Bolsig,0.06722,0.0671343891164862,,,1.6459999999999997e+25,,Equal,False
Bolsig,0.07175,0.0756346075264287,,,1.5749999999999997e+25,,Equal,False
